影片名字,封面图片,电影地址,演员以及类型,影片宣传语,热度,豆瓣评分
燃情岁月,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg,https://movie.douban.com/subject/24750126/,1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装,始于荒诞，止于更荒诞。,168291人评价,8.8
请以你的名字呼唤我,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg,https://movie.douban.com/subject/5989818/,,触不到的恋人。,188347人评价,8.8
倩女幽魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,https://movie.douban.com/subject/5322596/,,穷尽一生，我们要学会的，不过是彼此拥抱。,202557人评价,8.8
你的名字。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,https://movie.douban.com/subject/2363506/,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,天使保护事件始末。,95997人评价,8.8
末代皇帝,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,https://movie.douban.com/subject/2149806/,,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,352559人评价,8.8
摩登时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,https://movie.douban.com/subject/4917726/,,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,308521人评价,8.8
模仿游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,https://movie.douban.com/subject/1292329/,,弱者送给弱者的一刀。,120058人评价,8.8
玛丽和马克思,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,https://movie.douban.com/subject/1295038/,,童话世界的开端。,319917人评价,8.8
绿里奇迹,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p672446737.jpg,https://movie.douban.com/subject/2222996/,2003 / 美国 澳大利亚 / 动作 科幻,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,97678人评价,8.8
卢旺达饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,https://movie.douban.com/subject/26799731/,,沉醉在电影的情感和视听氛围中无法自拔。,214944人评价,8.8
恋恋笔记本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,https://movie.douban.com/subject/1858711/,1993 / 香港 / 喜剧 爱情 古装,跨度十五年的欢乐与泪水。,215274人评价,8.8
看不见的客人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,https://movie.douban.com/subject/1291832/,,故事的高级讲法。,392697人评价,8.8
禁闭岛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,https://movie.douban.com/subject/1297359/,,人与自然的战争史诗。,270358人评价,8.8
剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,https://movie.douban.com/subject/1293544/,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,安东尼·霍普金斯的顶级表演。,405858人评价,8.8
哈利·波特与魔法石,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,https://movie.douban.com/subject/1291875/,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,一场华丽的意淫。,316042人评价,8.8
告白,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,https://movie.douban.com/subject/1305164/,,相逢只要一瞬间，等待却像是一辈子。,260908人评价,8.8
风之谷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,https://movie.douban.com/subject/1291990/,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,226912人评价,8.8
谍影重重3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg,https://movie.douban.com/subject/1303037/,2007 / 美国 德国 / 动作 悬疑 惊悚,中国家庭的喜怒哀乐忍。,159268人评价,8.8
第六感,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/,2008 / 日本 / 剧情,骗子大师和执著警探的你追我跑故事。 ,280257人评价,8.8
春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,https://movie.douban.com/subject/1292656/,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,人生中应该拥有这样的一段豁然开朗。,318990人评价,8.8
